Video_ID,User_ID,Username,Video_Title,Category,Likes,Comments,Shares,Views,Upload_Date,Upload_DateTime,Upload_Hour,Upload_Day,Video_Length,Hashtags,Hashtag_Count,User_Followers,User_Following,User_Total_Likes,Engagement_Rate,Like_Rate,Comment_Rate,Share_Rate
1,53,user347,This Made Me Laugh,Comedy,3733,608,1103,55680,2024-01-10,2024-01-10 17:07:01,17,Wednesday,60,#comedy #lol,2,1666,972,8844,0.09777298850574713,0.06704382183908046,0.010919540229885057,0.019809626436781608
2,112,user120,Funny Moment #2,Comedy,6279,1525,1805,130370,2024-08-17,2024-08-17 07:47:20,7,Saturday,120,#funny,1,498,228,4665,0.07370560711820204,0.04816292091738897,0.011697476413285265,0.013845209787527806
3,358,user217,Dance Challenge #3,Dance,332,75,96,5785,2024-08-05,2024-08-05 23:10:59,23,Monday,45,#trending #viral #dancechallenge #fyp #dance,5,426,223,5915,0.08694900605012965,0.05738980121002593,0.01296456352636128,0.01659464131374244
4,195,user50,Gaming Highlight #4,Gaming,5851,1822,1463,80987,2024-04-17,2024-04-17 21:56:55,21,Wednesday,30,#gameplay #gaming,2,506,394,8665,0.11280822848111426,0.07224616296442639,0.02249743786039735,0.018064627656290515
5,41,user283,Epic Gameplay,Gaming,425,67,117,6262,2024-11-25,2024-11-25 03:13:12,3,Monday,90,#gameplay #gaming #streamer #gamer #twitch,5,492,366,4369,0.09725327371446822,0.06786969019482593,0.010699457042478442,0.018684126477163845
6,438,user120,Outfit Inspo #6,Fashion,473,82,143,15291,2024-11-18,2024-11-18 02:36:42,2,Monday,90,#style #fashion #ootd #outfit #trending,5,5641,4378,93792,0.04564776666012687,0.030933228696618926,0.00536263161336734,0.009351906350140606
7,344,user137,Funny Moment #7,Comedy,5243,893,1450,80019,2024-05-27,2024-05-27 15:01:59,15,Monday,60,#viral #comedy #fyp #lol,4,241,125,4200,0.09480248440995263,0.06552193853959684,0.011159849535735263,0.018120696334620528
8,353,user286,This Made Me Laugh,Comedy,100,26,24,3196,2024-08-24,2024-08-24 13:30:44,13,Saturday,30,#comedy #lol #fyp #viral #funny,5,292,109,5782,0.04693366708385482,0.03128911138923655,0.008135168961201502,0.007509386733416771
9,413,user162,Recipe #9,Cooking,797,226,307,15559,2024-09-22,2024-09-22 21:04:02,21,Sunday,90,#recipe,1,4194,341,43521,0.08548107204833215,0.051224371746256186,0.014525355099942155,0.019731345202133814
10,336,user256,Music Cover #10,Music,2258,491,671,106636,2024-04-13,2024-04-13 23:31:33,23,Saturday,20,#artist #cover,2,5707,3358,83113,0.032071720619678154,0.021174837765857685,0.004604448779023969,0.006292434074796504
11,382,user288,Music Cover #11,Music,1614,459,578,23725,2024-12-09,2024-12-09 13:50:40,13,Monday,180,#cover #song,2,10333,4132,132685,0.11173867228661749,0.06802950474183352,0.01934668071654373,0.024362486828240253
12,387,user25,Outfit Inspo #12,Fashion,1199,318,298,25606,2024-10-17,2024-10-17 02:40:24,2,Thursday,120,#ootd #outfit #fashion #trending #style,5,1000,320,12628,0.07088182457236585,0.04682496289932047,0.012418964305240959,0.01163789736780442
